Order_Number,Order_Status,Missed_LPNs
6025104610030209,Short,"00100854129313843125, 00100854129313875737"
6025104910030211,Short,"00100854129314155968, 00100854129314155951, 00100854129314155944"
6025112010030256,Perfect,
6025113010030260,Perfect,
6025113410030262,Perfect,
6025114310030266,Short,"00100854129313633207, 00100854129313633320, 00100854129313633221, 00100854129313633245, 00100854129313633214, 00100854129313633238"
6025114410030265,Perfect,
6025114510030267,Short,"00100854129314155760, 00100854129313876000"
6025114810030270,Perfect,
6025115210030270,Perfect,
6025132510030295,Perfect,
6025132710030294,Perfect,
6025134510030304,Perfect,
6025135710030311,Perfect,
6025136110030314,Perfect,
6025137610030317,Short,00100854129313699845
6025137810030319,Short,00100854129313169386
6025138610030322,Short,00100854129313650419
6025139310030333,Perfect,
6025141010030339,Perfect,
6025141310030337,Perfect,
6025141510030336,Perfect,
6025141810030345,Perfect,
6025142610030343,Short,00100854129314156408
6025143210030349,Perfect,
6025144510030352,Perfect,
6025145810030358,Short,"00100854129313634884, 00100854129313634914, 00100854129313634921, 00100854129313634938, 00100854129313634907"
6025145910030360,Perfect,
6025147210030370,Perfect,
6025147610030369,Perfect,
6025148010030368,Perfect,
6025148810030379,Perfect,
6025149010030378,Short,00100854129313694321
6025155010030265,Perfect,
6025155310030294,Perfect,
6025155410030296,Perfect,
6025155510030299,Perfect,
6025155610030301,Short,00100854128239271449
6025155910030319,Perfect,
6025157010030436,Perfect,
6025158310030442,Perfect,
6025159410030449,Perfect,
6025170810030508,Short,00100854129313699647
6025181610030442,Perfect,
6025184810030270,Perfect,
6025185110030322,Perfect,
6025185410030368,Perfect,
6025276510030991,Perfect,
6025280510031031,Perfect,
6025280710031033,Perfect,
6025326710030270,Perfect,
6025350410031441,Perfect,
602541339970658,Perfect,
602541529986283,Perfect,
602542519985997,Perfect,
602549669958078,Perfect,
6025571710032582,Short,00100854129314156293
6025588910032653,Perfect,
6025836110032932,Short,00100854129314156064
6025863710027006,Perfect,
6025867910033200,Perfect,
6025886910033256,Short,"00100854129313169065, 00100854129313169058, 00100854129313169072, 00100854129313169089"
602594809922728,Perfect,
6025967610015358,Perfect,
6025968710017316,Short,00100854129313109177
6025970310016288,Perfect,
6025972310015913,Perfect,
6025991110033627,Perfect,
6025991910033631,Short,"00100854129313854053, 00100854129313854039"
6026062810034184,Perfect,
602616579999046,Perfect,
602616679999192,Perfect,
6026170810035556,Perfect,
602618989999387,Perfect,
6026192210035817,Short,00100854129313854077
602619329800732,Perfect,
602619429986722,Perfect,
6026195010013944,Perfect,
6026195710028552,Perfect,
6026196010030177,Short,00100854129313650327
6026196510030270,Perfect,
6026223810036217,Perfect,
6026258610036930,Perfect,
6026269910036978,Perfect,
6026566810038501,Short,"00100854129313698022, 00100854129313698039, 00100854129313698015, 00100854129313697766"
6026569910038515,Short,"00100854129313169034, 00100854129313169027"
6026570510038521,Short,"00100854129314156033, 00100854129314156026, 00100854129314156040"
6026573110038533,Perfect,
6026573410038534,Perfect,
6026576110038552,Perfect,
6026578310038555,Perfect,
6026586810038572,Perfect,
6026592710038621,Short,00100854128238320797
602660339958056,Perfect,
602660349958078,Perfect,
602660389986695,Perfect,
602660429993720,Perfect,
6026604610030270,Perfect,
6026615910039532,Perfect,
6026644710039637,Short,00100854129313800005
6026656010010461,Perfect,
6026660010016036,Perfect,
6026664710016830,Perfect,
6026667010017825,Perfect,
6026667510019341,Perfect,
6026670110028780,Perfect,
6026671610029052,Perfect,
6026678510029390,Perfect,
6026679910030459,Perfect,
6026680510030488,Perfect,
6026681010030609,Perfect,
6026681610030618,Perfect,
6026682610030621,Perfect,
6026682810030622,Short,00100854129313699425
6026683210030627,Perfect,
6026685510030639,Perfect,
6026685710030643,Perfect,
6026686610030648,Perfect,
6026692710028639,Short,00100854129313650211
6026693310027010,Perfect,
6026702410040046,Perfect,
602670429986258,Short,00100854129313650266
602670439986262,Short,00100854128238320087
602670469986318,Perfect,
602670519986385,Perfect,
602670639993797,Perfect,
602670709993835,Perfect,
602671749803778,Short,00100854128238320810
6026808310040564,Short,00100854129313602005
6026811810033665,Perfect,
6026851410040619,Perfect,
6026967410041041,Perfect,
6026980210041109,Short,00100854129314156316
6027082610041397,Short,"00100854129313694536, 00100854129313694543, 00100854129313694550"
6027217210042066,Perfect,
6027235410028981,Perfect,
6027286010042780,Short,"00100854129313169102, 00100854129313169126, 00100854129313169119"
6027370610043032,Perfect,
602741289930340,Perfect,
6027442310032461,Perfect,
6027694210038526,Perfect,
6027696010043643,Perfect,
6027704510030769,Perfect,
6027705710030925,Short,00100854129313635065
6027708110030770,Short,00100854129312963886
6027716410030963,Perfect,
6027716910030968,Perfect,
6027769710044067,Short,"00100854129313856965, 00100854129313856972"
6027839010028767,Perfect,
6027875910045058,Perfect,
6027998710048665,Perfect,
6028029610030551,Perfect,
6028100610049898,Perfect,
6028114810050392,Short,"00100854129313169164, 00100854129313169171"
6028377610051708,Short,"00100854129313169195, 00100854129313169201"
